"","function_type","cure_rate","stderr","lower.ci","upper.ci","AIC","BIC"
"1","exponential",0.127897593622114,0.0257710415455495,0.0772052259766338,0.178589961267595,914.057697980176,921.697863840881
"2","weibull",0.171000919158544,0.0216342711300182,0.128445695927597,0.213556142389492,861.404638631109,872.864887422166
"3","llogis",0.141638779921931,0.02397221049309,0.0944847638359795,0.188792796007883,839.072998251206,850.533247042263
"4","lognormal",0.151124444804987,0.0234898998253472,0.104919147444483,0.19732974216549,833.740260194116,845.200508985174
"5","gompertz",0.171181669720108,0.021568801909702,0.128755226297297,0.213608113142918,895.84199590149,907.302244692547
"6","gamma",0.169518907737985,0.0217398248230391,0.126756057407313,0.212281758068656,847.57997200022,859.040220791277
"7","gengamma",0.142335474919908,0.0291703918376132,0.0849564891004397,0.199714460739377,835.305501959788,850.585833681197
